DATE,UNRATE,T10Y3M
1999-10-01,4.1,1.0885000000000000
1999-11-01,4.1,0.80650000000000000000
1999-12-01,4.0,0.91863636363636363636
2000-01-01,4.0,1.1620000000000000
2000-02-01,4.1,0.79250000000000000000
2000-03-01,4.0,0.39260869565217391304
2000-04-01,3.8,0.16894736842105263158
2000-05-01,4.0,0.44590909090909090909
2000-06-01,4.0,0.23545454545454545455
2000-07-01,4.0,-0.08850000000000000000
2000-08-01,4.1,-0.45130434782608695652
2000-09-01,3.9,-0.37600000000000000000
2000-10-01,3.9,-0.55619047619047619048
2000-11-01,3.9,-0.63904761904761904762
2000-12-01,3.9,-0.69650000000000000000
2001-01-01,4.2,-0.12428571428571428571
2001-02-01,4.2,0.09368421052631578947
2001-03-01,4.3,0.35000000000000000000
2001-04-01,4.4,1.1750000000000000
2001-05-01,4.3,1.6881818181818182
2001-06-01,4.5,1.7190476190476190
2001-07-01,4.6,1.6428571428571429
2001-08-01,4.9,1.5334782608695652
2001-09-01,5.0,2.0394117647058824
2001-10-01,5.3,2.3690909090909091
2001-11-01,5.5,2.7450000000000000
2001-12-01,5.7,3.3675000000000000
2002-01-01,5.7,3.3509523809523810
2002-02-01,5.7,3.1547368421052632
2002-03-01,5.7,3.4590000000000000
2002-04-01,5.9,3.4659090909090909
2002-05-01,5.8,3.4040909090909091
2002-06-01,5.8,3.1945000000000000
2002-07-01,5.8,2.9395454545454545
2002-08-01,5.7,2.6100000000000000
2002-09-01,5.7,2.2110000000000000
2002-10-01,5.7,2.3309090909090909
2002-11-01,5.9,2.7936842105263158
2002-12-01,6.0,2.8214285714285714
2003-01-01,5.8,2.8595238095238095
2003-02-01,5.9,2.7173684210526316
2003-03-01,5.9,2.6561904761904762
2003-04-01,6.0,2.8061904761904762
2003-05-01,6.1,2.4809523809523810
2003-06-01,6.3,2.3980952380952381
2003-07-01,6.2,3.0550000000000000
2003-08-01,6.1,3.4761904761904762
2003-09-01,6.1,3.3190476190476190
2003-10-01,6.0,3.3486363636363636
2003-11-01,5.8,3.3477777777777778
2003-12-01,5.7,3.3531818181818182
2004-01-01,5.7,3.2500000000000000
2004-02-01,5.6,3.1394736842105263
2004-03-01,5.8,2.8730434782608696
2004-04-01,5.6,3.3895238095238095
2004-05-01,5.6,3.6760000000000000
2004-06-01,5.6,3.4457142857142857
2004-07-01,5.5,3.1404761904761905
2004-08-01,5.4,2.7781818181818182
2004-09-01,5.4,2.4442857142857143
2004-10-01,5.5,2.3025000000000000
2004-11-01,5.4,2.0865000000000000
2004-12-01,5.4,2.0081818181818182
2005-01-01,5.3,1.8505000000000000
2005-02-01,5.4,1.5857894736842105
2005-03-01,5.2,1.7018181818181818
2005-04-01,5.2,1.5042857142857143
2005-05-01,5.1,1.2423809523809524
2005-06-01,5.0,0.96181818181818181818
2005-07-01,5.0,0.89000000000000000000
2005-08-01,4.9,0.74434782608695652174
2005-09-01,5.0,0.70476190476190476190
2005-10-01,5.0,0.67100000000000000000
2005-11-01,5.0,0.56050000000000000000
2005-12-01,4.9,0.49619047619047619048
2006-01-01,4.7,0.08000000000000000000
2006-02-01,4.8,0.02947368421052631579
2006-03-01,4.7,0.09608695652173913043
2006-04-01,4.7,0.26894736842105263158
2006-05-01,4.6,0.27363636363636363636
2006-06-01,4.6,0.18863636363636363636
2006-07-01,4.7,0.01100000000000000000
2006-08-01,4.7,-0.21391304347826086957
2006-09-01,4.5,-0.21100000000000000000
2006-10-01,4.4,-0.31714285714285714286
2006-11-01,4.5,-0.47809523809523809524
2006-12-01,4.4,-0.40850000000000000000
2007-01-01,4.6,-0.34571428571428571429
2007-02-01,4.5,-0.44052631578947368421
2007-03-01,4.4,-0.51545454545454545455
2007-04-01,4.5,-0.31285714285714285714
2007-05-01,4.4,-0.12136363636363636364
2007-06-01,4.6,0.36095238095238095238
2007-07-01,4.7,0.04333333333333333333
2007-08-01,4.6,0.35782608695652173913
2007-09-01,4.7,0.52736842105263157895
2007-10-01,4.7,0.52500000000000000000
2007-11-01,4.7,0.79400000000000000000
2007-12-01,5.0,1.03100000000000000000
2008-01-01,5.0,0.92428571428571428571
2008-02-01,4.9,1.5635000000000000
2008-03-01,5.1,2.2265000000000000
2008-04-01,5.0,2.3631818181818182
2008-05-01,5.4,2.1157142857142857
2008-06-01,5.6,2.2090476190476190
2008-07-01,5.8,2.3527272727272727
2008-08-01,6.1,2.1328571428571429
2008-09-01,6.1,2.5395238095238095
2008-10-01,6.5,3.1281818181818182
2008-11-01,6.8,3.3327777777777778
2008-12-01,7.3,2.3822727272727273
2009-01-01,7.8,2.3880000000000000
2009-02-01,8.3,2.5747368421052632
2009-03-01,8.7,2.6036363636363636
