,Date,Kp_max,Kp,Ap,C9,Rz,SFU
50,2004-02-20,2.0,9.0,4,1,26,93.2
51,2004-02-21,2.6666666666666665,13.666666666666666,7,1,30,96.0
52,2004-02-22,3.0,16.0,8,2,30,101.7
53,2004-02-23,2.6666666666666665,18.333333333333332,9,2,55,102.1
54,2004-02-24,3.3333333333333335,20.333333333333332,11,3,47,103.4
55,2004-02-25,2.3333333333333335,12.666666666666666,6,1,53,116.1
56,2004-02-26,1.6666666666666667,5.666666666666667,3,0,53,118.4
57,2004-02-27,4.0,19.0,12,3,67,119.8
58,2004-02-28,4.0,26.333333333333332,19,5,66,113.6
59,2004-02-29,5.333333333333333,28.666666666666668,24,6,50,108.0
60,2004-03-01,4.666666666666667,27.333333333333332,21,5,44,100.0
61,2004-03-02,4.333333333333333,27.666666666666668,21,5,31,97.1
62,2004-03-03,4.333333333333333,20.666666666666668,13,3,26,88.9
63,2004-03-04,2.0,13.0,6,1,23,95.9
64,2004-03-05,2.0,10.666666666666666,5,1,35,105.0
65,2004-03-06,2.0,6.0,3,0,39,102.9
66,2004-03-07,1.6666666666666667,6.0,3,0,40,104.6
67,2004-03-08,2.3333333333333335,6.666666666666667,3,0,35,106.3
68,2004-03-09,5.666666666666667,27.333333333333332,28,6,38,107.2
69,2004-03-10,6.333333333333333,36.666666666666664,45,7,38,111.1
70,2004-03-11,6.333333333333333,35.333333333333336,40,6,38,111.7
71,2004-03-12,5.666666666666667,30.333333333333332,28,6,48,106.2
72,2004-03-13,4.333333333333333,22.666666666666668,14,4,40,102.6
73,2004-03-14,4.333333333333333,24.666666666666668,16,4,38,101.3
74,2004-03-15,3.6666666666666665,23.666666666666668,15,4,32,100.3
75,2004-03-16,3.0,17.666666666666668,10,2,37,108.5
76,2004-03-17,2.6666666666666665,12.333333333333334,6,1,48,108.8
77,2004-03-18,3.0,19.333333333333332,10,3,54,114.4
78,2004-03-19,3.6666666666666665,13.0,7,2,58,111.3
79,2004-03-20,4.0,19.333333333333332,12,3,50,112.7
80,2004-03-21,3.3333333333333335,20.333333333333332,11,3,48,110.4
81,2004-03-22,3.3333333333333335,20.666666666666668,13,3,57,115.6
82,2004-03-23,3.3333333333333335,14.0,7,2,61,117.6
83,2004-03-24,1.3333333333333333,4.666666666666667,3,0,57,119.0
84,2004-03-25,2.3333333333333335,8.0,4,0,83,126.4
85,2004-03-26,4.666666666666667,22.0,17,4,84,123.2
86,2004-03-27,5.333333333333333,27.0,22,5,88,127.2
87,2004-03-28,5.333333333333333,26.666666666666668,21,5,76,128.6
88,2004-03-29,3.3333333333333335,19.333333333333332,10,3,66,128.3
89,2004-03-30,4.333333333333333,20.333333333333332,14,4,54,126.4
90,2004-03-31,3.3333333333333335,17.333333333333332,9,2,56,121.0
91,2004-04-01,1.6666666666666667,7.333333333333333,4,0,55,112.6
92,2004-04-02,1.6666666666666667,5.0,3,0,51,108.1
93,2004-04-03,6.333333333333333,33.0,41,7,47,107.4
94,2004-04-04,6.333333333333333,19.0,18,5,55,109.0
95,2004-04-05,6.333333333333333,21.666666666666668,24,6,57,108.9
96,2004-04-06,5.0,29.333333333333332,25,6,40,101.6
97,2004-04-07,3.3333333333333335,21.0,12,3,39,98.4
98,2004-04-08,3.6666666666666665,23.0,14,4,27,93.8
99,2004-04-09,4.666666666666667,23.0,16,4,15,90.3
100,2004-04-10,3.6666666666666665,18.0,11,3,13,88.1
101,2004-04-11,3.6666666666666665,18.0,10,3,13,90.0
102,2004-04-12,3.6666666666666665,17.666666666666668,10,3,25,91.8
103,2004-04-13,2.3333333333333335,13.666666666666666,6,1,35,93.6
104,2004-04-14,2.3333333333333335,8.0,4,0,42,95.8
105,2004-04-15,3.3333333333333335,12.333333333333334,7,1,34,97.4
106,2004-04-16,3.6666666666666665,22.0,13,4,31,97.6
107,2004-04-17,2.6666666666666665,15.0,8,2,50,99.0
108,2004-04-18,2.6666666666666665,16.333333333333332,8,2,58,110.0
109,2004-04-19,2.6666666666666665,12.0,6,1,63,114.5
110,2004-04-20,2.0,8.333333333333334,4,0,59,111.8
111,2004-04-21,3.0,13.333333333333334,7,1,59,113.9
112,2004-04-22,1.6666666666666667,8.666666666666666,4,0,57,118.4
113,2004-04-23,4.0,26.666666666666668,19,5,43,116.6
114,2004-04-24,4.333333333333333,17.666666666666668,10,3,38,112.9
115,2004-04-25,3.6666666666666665,19.666666666666668,11,3,31,108.4
116,2004-04-26,2.3333333333333335,10.666666666666666,5,1,34,100.9
117,2004-04-27,1.6666666666666667,9.333333333333334,4,1,26,96.4
118,2004-04-28,3.6666666666666665,15.0,9,2,23,90.7
119,2004-04-29,2.0,8.333333333333334,4,0,24,89.8
120,2004-04-30,4.666666666666667,21.666666666666668,16,4,34,90.8
121,2004-05-01,3.6666666666666665,18.0,9,2,44,95.7
122,2004-05-02,3.0,12.0,6,1,28,99.1
123,2004-05-03,2.3333333333333335,13.666666666666666,6,1,32,92.8
