"logLik" "logLik_se" "Beta_6" "Beta_7" "Beta_8" "gamma" "rho" "base" "Rz_0" "init1" "init2" "init3" "init4" "init5" "init6" "init7" "init8" "initI"
"result.15" -531.300645832711 1.35687371889399 0.014229725161593 0.0420872086229557 0.0101618814542912 0.265702138053684 0.255482890376489 0.268430751574824 17 0.0786821449397593 0.537955512730623 0.0671306550696313 0.0289845610591046 0.0545554758322181 0.0747278422111712 0.336190915596401 0.0197657067418547 0.0129653108709984
"result.16" -528.653453220773 2.03468529899513 0.0197744129384714 0.0369834289019966 0.0113399300295543 0.287806378392499 0.285988549345596 0.287850392001073 17 0.071563015970541 0.0588028972422896 0.0924043899093408 0.0949193066132609 0.0972587601927893 0.0211243074170346 0.0748138275059266 0.0857401802121392 0.0191213986972312
"result.17" -527.916800156357 0.36928295252111 0.00451084142505831 0.0257588397435664 0.0218939688103849 0.298163955765236 0.293433376568482 0.280510841372768 17 0.0635355462849488 0.072331861857393 0.090630370503204 0.104781201861249 0.0501967483000378 0.520935102751588 0.0300178950595319 0.186549842528768 0.00261257014539987
"result.18" -531.030336565501 0.528947387665849 0.00533340359302276 0.0527374773355026 0.00621289219564249 0.292746200174829 0.285431205736162 0.248051628501306 17 0.076287697205901 0.0447557146846998 0.102469744887856 0.117750704055433 0.0514965509229127 0.067936597229583 0.319031459418649 0.04116807637905 0.0403034707677731
"result.19" -530.016402200615 0.356416562614692 0.0155811386157237 0.0419064305919323 0.0207004672742464 0.428534351990665 0.259692873112606 0.266413926683527 17 0.13429163168398 0.0691295891740748 0.0651612509771406 0.0461982377400467 0.0315497364603303 0.0278890871448069 0.13754339772299 0.0247163863559259 0.00478460560774068
"result.20" -526.890446620598 0.510388766276287 0.0228649481406424 0.039538306793987 0.0296456658047931 0.403423892635068 0.31914196718827 0.265565655381011 17 0.0159827736343122 0.0737028262628687 0.120357275406728 0.138629044729072 0.119784104130048 0.0265417806587009 0.0232515228134845 0.171995037889738 0.0814304343484071
"logLik" "logLik_se" "Beta_6" "Beta_7" "Beta_8" "gamma" "base" "rho" "init1" "init2" "init3" "init4" "init5" "init6" "init7" "init8" "initI" "Rz_0"
"result.1" -525.057015563211 0.505570625610348 0.0246851450846617 0.034779284745505 0.0220545970680601 0.341981785302673 0.265655275509039 0.334118628542439 0.183790435457352 0.119425876605221 0.356501061847453 0.0227437687280782 0.0668329246924961 0.0369481444757099 0.00565801926949567 0.00108518507031783 0.020877980980385 17
"result.2" -523.138607895496 2.92403794622354 0.00844169948833223 0.0412049953053061 0.0258130155090101 0.27634480725957 0.253439669089749 0.286922331551548 0.0707337071051476 0.144843618295801 0.0971444696150747 0.008209704930447 0.154680571545603 0.0256876712842401 0.158318986028994 0.0978183464234847 0.010649754332791 17
"result.3" -526.005018861697 0.690018181726434 0.0112322753311881 0.0480443214742914 0.0310713657349927 0.476789493633667 0.280420725480689 0.290147205316911 0.00612198924387405 0.0296791473759426 0.0303723757435328 0.255389415120155 0.0943226721283267 0.184763517277244 0.0522113122898067 0.0140336657079101 0.00336964636324113 17
"result.4" -527.75818880148 0.423188398775459 0.00342646572673876 0.0508608514560725 0.00969203663692736 0.410655055651461 0.285808225318568 0.295407960974915 0.110960030641445 0.472102868368278 0.215520276403286 0.108731652808206 0.189380888929081 0.0796445293744431 0.0199606941686527 0.00231734815321587 0.0151386708706414 17
"result.5" -528.190846684099 0.449950482420684 0.0149359862830889 0.0251803564736662 0.022901387765657 0.442099650562741 0.25853910883502 0.294382331252895 0.098392393470838 0.0617657173681039 0.0382549119687821 0.062864049566582 0.0946339924133039 0.034431898807846 0.0210421447325229 0.075995637560287 0.000324383307726314 17
