"logLik" "logLik_se" "Beta" "mu_IR" "rho" "mu_R1" "mu_R2"
-3730.19756368086 0.00259806565046336 3.83086048156307 4.7340845007197 0.00930769391513516 0.99 0.8
-3309.56038377483 6.33800199629934 0.34863589169614 0.0923591395692306 0.768761321471134 0.99 0.8
-3362.33510103875 10.860666266363 1.15619484490228 0.102584088208021 0.898380460727235 0.99 0.8
-3729.99031633446 0.00191427453908384 0.875954071868817 116.834077492827 0.0115058358226528 0.99 0.8
-3268.33013683704 1.83543913167817 0.155483911865705 0.0868823936158309 0.701006670118354 0.99 0.8
-3174.25382219393 12.3506241730993 0.620870178863831 0.0859578713316116 0.848284564239075 0.99 0.8
-3141.86069954172 12.9788706280502 0.221590366371419 0.0863999625524946 0.896564378680392 0.99 0.8
-2581.61886540427 1.20124520045029 3.4736243583032 0.00259332524686271 0.611911024998042 0.99 0.8
-3722.71306781254 0.000755700907780004 0.342996608061001 1.81183401797652 0.993173460558061 0.99 0.8
-3332.53377181779 5.9432556208871 0.4409905227971 0.0974353062084997 0.857118397435475 0.99 0.8
-3411.61169965026 13.9307679202969 2.68409369499392 0.105422057856194 0.77279404499919 0.99 0.8
-3252.04935261581 4.89506927241737 4.06125279945164 0.0887589553366986 0.797564866441221 0.99 0.8
-3643.82966502568 0.00158828484663635 1.38699096938194 0.325615300366014 0.00725224221937123 0.99 0.8
-2558.83079079693 0.675621328009937 1.87770732464099 0.00616544010514434 0.256241584887036 0.99 0.8
-3727.17235068448 0.000727347560868666 1.98974220623566 11.3822878362863 0.00330735296407655 0.99 0.8
-3729.94450829794 0.00249631727184694 2.92597475998449 14.0859121096527 0.0111603124481284 0.99 0.8
-3284.79301019712 1.00677691895286 0.592114687577866 0.0922272755572218 0.816902249584624 0.99 0.8
