MJD,i_mag,err
6308.68125,17.616,0.011
6311.69781,17.633,0.010
6312.68104,17.645,0.011
6317.69217,17.629,0.013
6323.66541,17.595,0.011
6329.62460,17.604,0.013
6333.61499,17.567,0.011
6340.62758,17.590,0.010
6343.57138,17.538,0.011
6347.59765,17.550,0.012
6356.61510,17.527,0.011
6363.53251,17.573,0.012
6371.55721,17.622,0.012
6372.51917,17.622,0.011
6372.58204,17.625,0.012
6373.53275,17.612,0.011
6373.56419,17.607,0.012
6373.59887,17.617,0.012
6374.52452,17.642,0.012
6374.54740,17.623,0.013
6374.56690,17.634,0.012
6374.58786,17.626,0.013
6374.60602,17.621,0.014
6375.51570,17.647,0.011
6375.55750,17.622,0.011
6375.59847,17.621,0.011
6376.52055,17.640,0.015
6376.59120,17.580,0.020
6377.53769,17.636,0.010
6378.54030,17.634,0.014
6387.53040,17.647,0.012
6396.53627,17.609,0.013
6404.52144,17.618,0.016
6416.49748,17.543,0.013
6508.93702,17.660,0.018
6520.88964,17.632,0.010
6531.90078,17.578,0.011
6547.86625,17.564,0.011
6561.83433,17.553,0.011
6568.90006,17.605,0.021
6569.66468,17.639,0.010
6569.71274,17.604,0.009
6569.75777,17.648,0.009
6569.85213,17.624,0.009
6569.89132,17.643,0.010
6571.84109,17.641,0.009
6577.88166,17.664,0.010
6580.79188,17.597,0.013
6583.78784,17.619,0.012
6592.73784,17.584,0.012
6592.75027,17.620,0.012
6592.77858,17.555,0.011
6593.63576,17.540,0.014
6593.66056,17.572,0.012
6593.68250,17.623,0.016
6593.70263,17.634,0.017
6593.72099,17.580,0.015
6593.74911,17.556,0.012
6593.76941,17.534,0.013
6593.79110,17.524,0.012
6593.81892,17.554,0.016
6593.84030,17.596,0.015
6593.85420,17.542,0.012
6593.86829,17.589,0.015
6594.71017,17.556,0.014
6594.72972,17.589,0.013
6594.75521,17.613,0.016
6594.78159,17.630,0.017
6594.83089,17.597,0.014
6595.70974,17.559,0.010
6595.76252,17.512,0.009
6595.81111,17.560,0.010
6595.85963,17.570,0.012
6596.77333,17.561,0.011
6608.82809,17.588,0.009
6612.76429,17.572,0.011
6616.72615,17.577,0.011
6622.78011,17.580,0.011
6628.80774,17.594,0.011
6638.73311,17.645,0.010
6645.73102,17.674,0.012
6649.73796,17.658,0.011
6654.75807,17.600,0.010
6658.77471,17.552,0.008
6662.73654,17.552,0.011
6667.79669,17.575,0.013
6672.77141,17.566,0.016
6680.76565,17.573,0.011
6690.64827,17.576,0.010
6697.70893,17.609,0.010
6705.67216,17.631,0.015
6712.64150,17.672,0.012
6720.68092,17.582,0.012
6736.61145,17.535,0.016
