DATE,DEXUSUK
2012-05-06,1.6194400000000000
2012-05-13,1.6144400000000000
2012-05-20,1.5937000000000000
2012-05-27,1.5720400000000000
2012-06-03,1.5487500000000000
2012-06-10,1.5440400000000000
2012-06-17,1.5564200000000000
2012-06-24,1.5672400000000000
2012-07-01,1.5582600000000000
2012-07-08,1.5598000000000000
2012-07-15,1.5504000000000000
2012-07-22,1.5646600000000000
2012-07-29,1.5584600000000000
2012-08-05,1.5625200000000000
2012-08-12,1.5648800000000000
2012-08-19,1.5700600000000000
2012-08-26,1.5798400000000000
2012-09-02,1.5825000000000000
2012-09-09,1.5933500000000000
2012-09-16,1.6112000000000000
2012-09-23,1.6236400000000000
2012-09-30,1.6185000000000000
2012-10-07,1.6153200000000000
2012-10-14,1.6024250000000000
2012-10-21,1.6095800000000000
2012-10-28,1.6038400000000000
2012-11-04,1.6079400000000000
2012-11-11,1.5965600000000000
2012-11-18,1.5866250000000000
2012-11-25,1.5950750000000000
2012-12-02,1.6018400000000000
2012-12-09,1.6080000000000000
2012-12-16,1.6114400000000000
2012-12-23,1.6233800000000000
2012-12-30,1.6123500000000000
2013-01-06,1.6176000000000000
2013-01-13,1.6079400000000000
2013-01-20,1.6008400000000000
2013-01-27,1.5824500000000000
2013-02-03,1.5766000000000000
2013-02-10,1.5714000000000000
2013-02-17,1.5577200000000000
2013-02-24,1.5313000000000000
2013-03-03,1.5119200000000000
2013-03-10,1.5035200000000000
2013-03-17,1.4972600000000000
2013-03-24,1.5156600000000000
2013-03-31,1.5165800000000000
2013-04-07,1.5203800000000000
2013-04-14,1.5333000000000000
2013-04-21,1.5285400000000000
2013-04-28,1.5340000000000000
2013-05-05,1.5539200000000000
2013-05-12,1.5481000000000000
2013-05-19,1.5244400000000000
2013-05-26,1.5135400000000000
2013-06-02,1.5143500000000000
2013-06-09,1.5440800000000000
2013-06-16,1.5644800000000000
2013-06-23,1.5566600000000000
2013-06-30,1.5319800000000000
2013-07-07,1.5148000000000000
2013-07-14,1.4987800000000000
2013-07-21,1.5169400000000000
2013-07-28,1.5357600000000000
2013-08-04,1.5239600000000000
2013-08-11,1.5458000000000000
2013-08-18,1.5530200000000000
2013-08-25,1.5635800000000000
2013-09-01,1.5514400000000000
2013-09-08,1.5603250000000000
2013-09-15,1.5788400000000000
2013-09-22,1.5971400000000000
2013-09-29,1.6059800000000000
2013-10-06,1.6169800000000000
2013-10-13,1.6006800000000000
2013-10-20,1.6057000000000000
2013-10-27,1.6177000000000000
2013-11-03,1.6051600000000000
2013-11-10,1.6027600000000000
2013-11-17,1.6033250000000000
2013-11-24,1.6147200000000000
2013-12-01,1.6243250000000000
2013-12-08,1.6357600000000000
2013-12-15,1.6367200000000000
2013-12-22,1.6338000000000000
2013-12-29,1.6410750000000000
2014-01-05,1.6490250000000000
2014-01-12,1.6444600000000000
2014-01-19,1.6393600000000000
2014-01-26,1.6535750000000000
2014-02-02,1.6533400000000000
2014-02-09,1.6331000000000000
2014-02-16,1.6568800000000000
2014-02-23,1.6671000000000000
2014-03-02,1.6685600000000000
2014-03-09,1.6714800000000000
2014-03-16,1.6634600000000000
2014-03-23,1.6571400000000000
2014-03-30,1.6565600000000000
2014-04-06,1.6625000000000000
2014-04-13,1.6725400000000000
2014-04-20,1.6772200000000000
2014-04-27,1.6800000000000000
2014-05-04,1.6857800000000000
2014-05-11,1.6920600000000000
2014-05-18,1.6822200000000000
2014-05-25,1.6843800000000000
2014-06-01,1.6748000000000000
2014-06-08,1.6769200000000000
2014-06-15,1.6830400000000000
2014-06-22,1.6992800000000000
2014-06-29,1.7000200000000000
2014-07-06,1.7142250000000000
2014-07-13,1.7123000000000000
2014-07-20,1.7106400000000000
2014-07-27,1.7022800000000000
2014-08-03,1.6910800000000000
2014-08-10,1.6835000000000000
2014-08-17,1.6733800000000000
2014-08-24,1.6627200000000000
2014-08-31,1.6578400000000000
2014-09-07,1.6403500000000000
2014-09-14,1.6166200000000000
2014-09-21,1.6309600000000000
2014-09-28,1.6324200000000000
2014-10-05,1.6160000000000000
2014-10-12,1.6068200000000000
2014-10-19,1.6010000000000000
2014-10-26,1.6095200000000000
2014-11-02,1.6092200000000000
2014-11-09,1.5933400000000000
2014-11-16,1.5761500000000000
2014-11-23,1.5663600000000000
2014-11-30,1.5710000000000000
2014-12-07,1.5680200000000000
2014-12-14,1.5689600000000000
2014-12-21,1.5664400000000000
2014-12-28,1.5561333333333333
2015-01-04,1.5509000000000000
2015-01-11,1.5150000000000000
2015-01-18,1.5172200000000000
2015-01-25,1.5088500000000000
2015-02-01,1.5103600000000000
2015-02-08,1.5181000000000000
2015-02-15,1.5295000000000000
2015-02-22,1.5403750000000000
2015-03-01,1.5452200000000000
2015-03-08,1.5264000000000000
2015-03-15,1.4958000000000000
2015-03-22,1.4776400000000000
2015-03-29,1.4888600000000000
2015-04-05,1.4844600000000000
2015-04-12,1.4825400000000000
2015-04-19,1.4819000000000000
2015-04-26,1.5021400000000000
2015-05-03,1.5302600000000000
2015-05-10,1.5243600000000000
2015-05-17,1.5712800000000000
2015-05-24,1.5580400000000000
2015-05-31,1.5324750000000000
2015-06-07,1.5300600000000000
2015-06-14,1.5454600000000000
2015-06-21,1.5736000000000000
2015-06-28,1.5744400000000000
2015-07-05,1.5680500000000000
2015-07-12,1.5458600000000000
2015-07-19,1.5589600000000000
2015-07-26,1.5560200000000000
2015-08-02,1.5610200000000000
2015-08-09,1.5561400000000000
