DATE,IPG3113S
2010-05-01,100.4362
2010-06-01,100.3494
2010-07-01,106.9907
2010-08-01,111.6439
2010-09-01,112.8771
2010-10-01,110.7976
2010-11-01,102.5389
2010-12-01,104.0642
2011-01-01,100.1879
2011-02-01,102.6857
2011-03-01,102.7892
2011-04-01,105.9905
2011-05-01,102.3038
2011-06-01,101.0126
2011-07-01,100.5444
2011-08-01,95.2523
2011-09-01,91.0888
2011-10-01,102.2239
2011-11-01,102.0674
2011-12-01,100.8373
2012-01-01,97.2305
2012-02-01,99.6989
2012-03-01,97.1241
2012-04-01,97.6224
2012-05-01,96.0609
2012-06-01,98.0731
2012-07-01,101.5949
2012-08-01,102.9794
2012-09-01,108.0610
2012-10-01,99.6654
2012-11-01,100.1758
2012-12-01,101.7136
2013-01-01,103.6945
2013-02-01,102.0728
2013-03-01,104.2772
2013-04-01,103.1037
2013-05-01,103.7641
2013-06-01,103.0991
2013-07-01,103.5833
2013-08-01,103.5928
2013-09-01,101.2827
2013-10-01,104.0649
2013-11-01,107.7479
2013-12-01,110.6988
2014-01-01,105.8293
2014-02-01,105.1278
2014-03-01,105.1274
2014-04-01,101.5196
2014-05-01,100.7579
2014-06-01,100.0651
2014-07-01,98.7271
2014-08-01,99.7059
2014-09-01,101.4028
2014-10-01,105.1976
2014-11-01,113.5104
2014-12-01,114.2256
2015-01-01,107.9749
2015-02-01,106.4778
2015-03-01,107.2071
2015-04-01,106.8378
2015-05-01,104.9316
2015-06-01,107.8895
2015-07-01,108.7931
2015-08-01,116.7782
2015-09-01,111.3579
2015-10-01,111.6628
2015-11-01,111.7188
2015-12-01,109.9260
2016-01-01,110.9043
2016-02-01,111.2188
2016-03-01,115.8431
2016-04-01,116.5603
2016-05-01,119.7121
2016-06-01,119.6567
2016-07-01,119.6207
2016-08-01,113.3440
2016-09-01,110.8589
2016-10-01,113.3259
2016-11-01,110.7131
2016-12-01,110.4135
2017-01-01,114.0163
2017-02-01,118.9979
2017-03-01,112.3448
2017-04-01,118.5476
2017-05-01,115.7341
2017-06-01,115.9477
2017-07-01,112.8497
2017-08-01,116.9791
2017-09-01,117.4218
2017-10-01,111.2772
2017-11-01,109.9329
2017-12-01,114.7657
2018-01-01,115.5439
2018-02-01,118.7699
2018-03-01,117.3204
2018-04-01,120.1449
2018-05-01,121.7089
2018-06-01,116.5823
2018-07-01,116.3347
2018-08-01,114.3124
2018-09-01,115.7374
2018-10-01,111.0179
2018-11-01,112.2593
2018-12-01,117.5850
2019-01-01,118.8524
2019-02-01,121.1333
2019-03-01,123.6509
2019-04-01,120.1175
2019-05-01,122.2526
2019-06-01,122.9147
2019-07-01,117.7659
2019-08-01,119.2947
2019-09-01,121.4743
2019-10-01,120.7031
2019-11-01,124.5240
2019-12-01,126.4905
2020-01-01,121.3690
2020-02-01,122.6987
2020-03-01,123.6677
