DATE,WILL5000INDFC
2016-11-10,98.23
2016-11-11,98.37
2016-11-14,98.63
2016-11-15,99.37
2016-11-16,99.24
2016-11-17,99.75
2016-11-18,99.60
2016-11-21,100.34
2016-11-22,100.68
2016-11-23,100.81
2016-11-24,.
2016-11-25,101.20
2016-11-28,100.56
2016-11-29,100.70
2016-11-30,100.48
2016-12-01,100.05
2016-12-02,100.10
2016-12-05,100.84
2016-12-06,101.31
2016-12-07,102.59
2016-12-08,102.98
2016-12-09,103.43
2016-12-12,103.16
2016-12-13,103.75
2016-12-14,102.84
2016-12-15,103.27
2016-12-16,103.11
2016-12-19,103.36
2016-12-20,103.82
2016-12-21,103.57
2016-12-22,103.29
2016-12-23,103.50
2016-12-26,.
2016-12-27,103.76
2016-12-28,102.87
2016-12-29,102.87
2016-12-30,102.42
2017-01-02,.
2017-01-03,103.27
2017-01-04,104.12
2017-01-05,103.95
2017-01-06,104.24
2017-01-09,103.83
2017-01-10,103.93
2017-01-11,104.23
2017-01-12,103.94
2017-01-13,104.23
2017-01-16,.
2017-01-17,103.80
2017-01-18,104.04
2017-01-19,103.62
2017-01-20,103.97
2017-01-23,103.72
2017-01-24,104.57
2017-01-25,105.40
2017-01-26,105.32
2017-01-27,105.15
2017-01-30,104.42
2017-01-31,104.43
2017-02-01,104.47
2017-02-02,104.50
2017-02-03,105.35
2017-02-06,105.07
2017-02-07,105.03
2017-02-08,105.15
2017-02-09,105.88
2017-02-10,106.29
2017-02-13,106.80
2017-02-14,107.24
2017-02-15,107.77
2017-02-16,107.61
2017-02-17,107.81
2017-02-20,.
2017-02-21,108.47
2017-02-22,108.29
2017-02-23,108.19
2017-02-24,108.34
2017-02-27,108.57
2017-02-28,108.13
2017-03-01,109.63
2017-03-02,108.89
2017-03-03,108.95
2017-03-06,108.55
2017-03-07,108.16
2017-03-08,107.87
2017-03-09,107.85
2017-03-10,108.21
2017-03-13,108.35
2017-03-14,107.96
2017-03-15,108.95
2017-03-16,108.88
2017-03-17,108.80
2017-03-20,108.54
2017-03-21,106.99
2017-03-22,107.15
2017-03-23,107.15
2017-03-24,107.11
2017-03-27,107.03
2017-03-28,107.80
2017-03-29,108.03
2017-03-30,108.40
2017-03-31,108.27
2017-04-03,107.98
2017-04-04,108.04
2017-04-05,107.59
2017-04-06,107.95
2017-04-07,107.87
2017-04-10,107.99
2017-04-11,107.96
2017-04-12,107.46
2017-04-13,106.68
2017-04-14,.
2017-04-17,107.63
2017-04-18,107.40
2017-04-19,107.30
2017-04-20,108.15
2017-04-21,107.83
2017-04-24,109.00
2017-04-25,109.71
2017-04-26,109.73
2017-04-27,109.78
2017-04-28,109.46
2017-05-01,109.71
2017-05-02,109.73
2017-05-03,109.45
2017-05-04,109.41
2017-05-05,109.96
2017-05-08,109.89
2017-05-09,109.79
2017-05-10,110.04
2017-05-11,109.74
2017-05-12,109.54
2017-05-15,110.12
2017-05-16,110.05
2017-05-17,107.99
2017-05-18,108.43
2017-05-19,109.20
2017-05-22,109.80
2017-05-23,110.00
2017-05-24,110.29
2017-05-25,110.71
2017-05-26,110.75
2017-05-29,.
2017-05-30,110.52
2017-05-31,110.50
2017-06-01,111.53
2017-06-02,111.92
2017-06-05,111.72
2017-06-06,111.41
2017-06-07,111.56
2017-06-08,111.74
2017-06-09,111.64
2017-06-12,111.55
2017-06-13,112.15
2017-06-14,111.96
2017-06-15,111.64
2017-06-16,111.62
2017-06-19,112.53
2017-06-20,111.70
2017-06-21,111.61
2017-06-22,111.65
2017-06-23,111.97
2017-06-26,112.07
2017-06-27,111.13
2017-06-28,112.23
2017-06-29,111.31
2017-06-30,111.48
2017-07-03,111.79
2017-07-04,.
2017-07-05,111.83
2017-07-06,110.74
2017-07-07,111.50
2017-07-10,111.51
2017-07-11,111.52
2017-07-12,112.35
2017-07-13,112.55
2017-07-14,113.07
2017-07-17,113.10
2017-07-18,113.14
2017-07-19,113.81
2017-07-20,113.79
2017-07-21,113.71
2017-07-24,113.69
2017-07-25,114.11
2017-07-26,114.07
2017-07-27,113.90
2017-07-28,113.72
2017-07-31,113.61
2017-08-01,113.90
2017-08-02,113.77
2017-08-03,113.52
2017-08-04,113.78
2017-08-07,113.94
2017-08-08,113.62
2017-08-09,113.48
2017-08-10,111.82
2017-08-11,111.99
2017-08-14,113.16
2017-08-15,113.00
2017-08-16,113.20
2017-08-17,111.45
2017-08-18,111.27
2017-08-21,111.36
2017-08-22,112.50
2017-08-23,112.21
2017-08-24,112.06
2017-08-25,112.28
2017-08-28,112.34
2017-08-29,112.44
2017-08-30,113.05
2017-08-31,113.78
2017-09-01,114.08
2017-09-04,.
2017-09-05,113.17
2017-09-06,113.49
2017-09-07,113.44
2017-09-08,113.26
2017-09-11,114.48
2017-09-12,114.91
2017-09-13,115.02
2017-09-14,114.93
2017-09-15,115.13
2017-09-18,115.36
2017-09-19,115.48
2017-09-20,115.63
2017-09-21,115.30
2017-09-22,115.43
2017-09-25,115.20
2017-09-26,115.27
2017-09-27,115.91
2017-09-28,116.08
2017-09-29,116.50
2017-10-02,117.04
2017-10-03,117.33
2017-10-04,117.42
2017-10-05,118.06
2017-10-06,117.96
2017-10-09,117.71
2017-10-10,117.99
2017-10-11,118.19
2017-10-12,118.01
2017-10-13,118.07
2017-10-16,118.24
2017-10-17,118.24
2017-10-18,118.34
2017-10-19,118.35
2017-10-20,118.96
