DATE,price
2016/6/29,1317.75
2016/6/30,1317
2016/7/1,1331.75
2016/7/4,1348.75
2016/7/5,1344.75
2016/7/6,1370
2016/7/7,1367.1
2016/7/8,1356.1
2016/7/11,1358.25
2016/7/12,1352.85
2016/7/13,1340.25
2016/7/14,1325.7
2016/7/15,1330.5
2016/7/18,1326.15
2016/7/19,1332.2
2016/7/20,1325.6
2016/7/21,1322
2016/7/22,1323.2
2016/7/25,1315
2016/7/26,1321.25
2016/7/27,1320.8
2016/7/28,1341.3
2016/7/29,1332.5
2016/8/1,1348.85
2016/8/2,1358.15
2016/8/3,1364.4
2016/8/4,1351.15
2016/8/5,1362.6
2016/8/8,1330
2016/8/9,1332.9
2016/8/10,1351.85
2016/8/11,1344.55
2016/8/12,1336.7
2016/8/15,1339.2
2016/8/16,1349.1
2016/8/17,1342.75
2016/8/18,1347.1
2016/8/19,1346.85
2016/8/22,1334.3
2016/8/23,1338.5
2016/8/24,1337.3
2016/8/25,1324.5
2016/8/26,1324.9
2016/8/30,1318.85
2016/8/31,1314.45
2016/9/1,1305.7
2016/9/2,1311.5
2016/9/5,1328.3
2016/9/6,1330.05
2016/9/7,1348.75
2016/9/8,1348
2016/9/9,1335.65
2016/9/12,1327.5
2016/9/13,1328.5
2016/9/14,1323.2
2016/9/15,1320.1
2016/9/16,1314.25
2016/9/19,1315.05
2016/9/20,1315.4
2016/9/21,1319.6
2016/9/22,1332.45
2016/9/23,1335.9
2016/9/26,1336.3
2016/9/27,1335.85
2016/9/28,1324.8
2016/9/29,1320.85
2016/9/30,1327.9
2016/10/3,1318.65
2016/10/4,1309.15
2016/10/5,1274
2016/10/6,1265.5
2016/10/7,1255
2016/10/10,1262.1
2016/10/11,1256.4
2016/10/12,1255.7
2016/10/13,1258
2016/10/14,1256.15
2016/10/17,1252.7
2016/10/18,1261.65
2016/10/19,1269.75
2016/10/20,1269.2
2016/10/21,1263.95
2016/10/24,1267
2016/10/25,1269.3
2016/10/26,1273.9
2016/10/27,1269.3
2016/10/28,1265.9
2016/10/31,1274.2
2016/11/1,1284.4
2016/11/2,1295.85
2016/11/3,1293
2016/11/4,1301.7
2016/11/7,1286.8
2016/11/8,1284
2016/11/9,1304.55
2016/11/10,1280.9
2016/11/11,1255.65
2016/11/14,1222.6
2016/11/15,1228.9
2016/11/16,1225.7
2016/11/17,1232
2016/11/18,1206.1
2016/11/21,1214.95
2016/11/22,1217.55
2016/11/23,1213.25
2016/11/24,1187.25
2016/11/25,1187.5
2016/11/28,1189.1
2016/11/29,1187.3
2016/11/30,1187.4
2016/12/1,1168.75
2016/12/2,1171.65
2016/12/5,1164.9
2016/12/6,1171.15
2016/12/7,1171.25
2016/12/8,1174.75
2016/12/9,1168.9
2016/12/12,1154.4
2016/12/13,1157.35
2016/12/14,1160.95
2016/12/15,1132.45
2016/12/16,1134.85
2016/12/19,1137.6
2016/12/20,1132.75
2016/12/21,1134.4
2016/12/22,1130.55
2016/12/23,1131
2016/12/28,1139.75
2016/12/29,1146.8
2016/12/30,1159.1
2017/1/3,1148.65
2017/1/4,1165.9
2017/1/5,1173.05
2017/1/6,1178
2017/1/9,1176.1
2017/1/10,1183.2
2017/1/11,1187.55
2017/1/12,1206.65
2017/1/13,1196.35
2017/1/16,1202.75
2017/1/17,1217.5
2017/1/18,1212.5
2017/1/19,1203.35
2017/1/20,1199.1
2017/1/23,1213.75
2017/1/24,1213.3
2017/1/25,1203.5
2017/1/26,1191.55
2017/1/27,1184.2
2017/1/30,1189.85
2017/1/31,1198.8
2017/2/1,1210
2017/2/2,1224.05
2017/2/3,1213.05
2017/2/6,1221.85
2017/2/7,1231
2017/2/8,1235.6
2017/2/9,1241.75
2017/2/10,1225.75
2017/2/13,1229.4
2017/2/14,1229.65
2017/2/15,1225.15
2017/2/16,1236.75
2017/2/17,1241.4
2017/2/20,1235.35
2017/2/21,1228.7
2017/2/22,1237.5
2017/2/23,1237.35
2017/2/24,1255.35
2017/2/27,1256.25
2017/2/28,1251.9
2017/3/1,1246.05
2017/3/2,1243.3
2017/3/3,1228.75
2017/3/6,1231.15
2017/3/7,1223.7
2017/3/8,1213.3
2017/3/9,1204.6
2017/3/10,1196.55
2017/3/13,1207.8
2017/3/14,1203.55
2017/3/15,1202.25
2017/3/16,1225.6
2017/3/17,1228.75
2017/3/20,1233
2017/3/21,1232.05
2017/3/22,1246.1
2017/3/23,1247.9
2017/3/24,1244
2017/3/27,1256.9
2017/3/28,1253.65
2017/3/29,1252.9
2017/3/30,1250.9
2017/3/31,1241.7
2017/4/3,1246.25
2017/4/4,1258.65
2017/4/5,1252.5
2017/4/6,1253.75
2017/4/7,1264.3
2017/4/10,1253.6
2017/4/11,1255.7
2017/4/12,1272.3
2017/4/13,1286.1
2017/4/18,1285
2017/4/19,1282.05
2017/4/20,1279.9
2017/4/21,1281.5
2017/4/24,1271.8
2017/4/25,1270.5
2017/4/26,1264.95
2017/4/27,1264.3
2017/4/28,1265.55
2017/5/2,1255.8
2017/5/3,1253.95
2017/5/4,1235.85
2017/5/5,1239.4
2017/5/8,1229.7
2017/5/9,1225.15
2017/5/10,1222.95
2017/5/11,1221
2017/5/12,1227.9
2017/5/15,1231.5
2017/5/16,1234.05
2017/5/17,1244.6
2017/5/18,1261.35
2017/5/19,1251.85
2017/5/22,1255.25
2017/5/23,1259.9
2017/5/24,1251.35
2017/5/25,1257.1
2017/5/26,1265
2017/5/30,1262.8
2017/5/31,1263.8
2017/6/1,1266.15
2017/6/2,1260.95
2017/6/5,1280.7
2017/6/6,1287.85
2017/6/7,1292.7
2017/6/8,1284.8
2017/6/9,1274.25
2017/6/12,1269.25
2017/6/13,1261.3
2017/6/14,1268.25
2017/6/15,1260.25
2017/6/16,1256.6
2017/6/19,1251.1
2017/6/20,1246.5
2017/6/21,1247.05
2017/6/22,1251.4
2017/6/23,1256.3
2017/6/26,1240.85
2017/6/27,1250.4
2017/6/28,1251.6
2017/6/29,1246.6
2017/6/30,1243.25
2017/7/3,1235.2
2017/7/4,1224.25
2017/7/5,1221.9
2017/7/6,1224.3
2017/7/7,1220.4
2017/7/10,1207.55
2017/7/11,1211.9
2017/7/12,1219.4
2017/7/13,1221.4
2017/7/14,1218.95
2017/7/17,1229.85
2017/7/18,1237.1
