DATE,NASDAQ100
2004-08-13,1320.4880000000000000
2004-08-20,1349.2520000000000000
2004-08-27,1380.4780000000000000
2004-09-03,1376.9480000000000000
2004-09-10,1390.7850000000000000
2004-09-17,1424.2560000000000000
2004-09-24,1413.9340000000000000
2004-10-01,1410.3580000000000000
2004-10-08,1456.3720000000000000
2004-10-15,1432.6760000000000000
2004-10-22,1453.2820000000000000
2004-10-29,1465.7160000000000000
2004-11-05,1505.7900000000000000
2004-11-12,1534.2600000000000000
2004-11-19,1562.7060000000000000
2004-11-26,1572.9225000000000000
2004-12-03,1597.3280000000000000
2004-12-10,1605.1560000000000000
2004-12-17,1615.2960000000000000
2004-12-24,1607.1425000000000000
2004-12-31,1620.3220000000000000
2005-01-07,1572.2860000000000000
2005-01-14,1558.0780000000000000
